"DPD Table Rates", "DPD Tabel Taxe"
"Table Rates", "Tabel Taxe"
"Enabled", "Activ"
"DPD Country Select", "Selecteaza Tara"
"Production Mode", "Modul Productie"
"Production WS URL", "URL serviciu web [Productie]"
"Test WS URL", "URL serviciu web [Test]"
"Method Title", "Titlul metodei de livrare"
"Method Name", "Numele metodei de livrare"
"Web Service Username", "Utilizator DPD"
"Web Service Password", "Parola DPD"
"Web Service Connection Timeout", "Web Service conexiune Timeout"
"Set a timeout for connecting to the DPD web service in seconds.", "Setati un interval de timp pentru conectarea cu serviciul web DPD."
"E.g. http://egproduction.dpd.com/IT4EMWebServices/eshop/", "Ex. http://egproduction.dpd.com/IT4EMWebServices/eshop/"
"E.g. http://egtest.dpd.com/IT4EMWebServices/eshop/", "Ex. http://egtest.dpd.com/IT4EMWebServices/eshop/"
"Sender Address Id", "Id-ul adresei de expeditie"
"Payer Id", "Id-ul platitorului"
"Service","Serviciu"
"Select the services that you want to enable. Note that you must also define the shipping prices for these services in your shipping table rates (see below).", "Selecteaza serviciile DPD de livrare care vor fi active in checkout. Pentru serviciile activate se pot defini intrari in tabela de taxare pentru o flexibilitate mai mare de gestionare a costului de livrare."
"Export Shipping Table Rates", "Export Tabel preturi"
"Import Shipping Table Rates", "Import Tabel preturi"
"DPD GeoPost Pickup Address", "DPD GeoPost - Adresa de ridicare a coletelor"
"Name", "Nume"
"Additional Name", "Nume Aditional"
"Street", "Strada"
"City", "Oras"
"Postcode", "Cod Postal"
"Country", "Tara"
"Telephone", "Telefon"
"Email Address", "Adresa email"
"Cash On Delivery for DPD GeoPost", "Plata la livrare prin DPD - COD"
"Description", "Descriere"
"Surcharge Name", "Nume taxa"
"New order status", "Statusul noii comenzi"
"Payment Type", "Tip plata"
"Payment from Applicable Countries", "Metoda de plata activa pentru tarile"
"Payment from Specific Countries", "Selecteaza tarile"
"The new shipping address for shipments associated with this order have been communicated successfully to DPD.", "O noua adresa de livrare pentru expeditiile asociate cu comanda comunicata catre DPD"
"An error occurred updating the shipping address details with DPD: <br /> ""%s""", "Eroare aparuta la actualizarea datelor de contact de expediere cu DPD.<br /> ""%s"""
"DPD could not update the shipment address. The following error was returned: <br /> ""%s: %s""", "DPD nu a putut actualiza adresa de expediere.Urmatoarea eroare a fost returnata: <br /> ""%s: %s"" "
"An error occurred retrieving the updated shipping labels from DPD. <br />""s%""", "A ap?rut o eroare la preluarea etichetele de expediere actualizate din DPD. <br />""s%"""
"The total length of the address cannot be more than %s characters.", "Lungimea totala a adresei nu poate fi mai mult de %s  caractere"
"incl. tax", " incl. VAT"
"excl. tax", " excl. VAT"
"Incl. tax", " Incl. VAT"
"Excl. tax", " Excl. VAT"
"(Excl.Tax)", "(Excl. VAT)"
"(Incl.Tax)", "(Incl. VAT)"
"(Excl. Tax)", " (Excl. VAT)"
"(Incl. Tax)", " (Incl. VAT)"
"Cash", "Cash"
"Credit Card", "Credit Card"
"Crossed Check", "Crossed Cheque"
"Free", "Gratis"
"Error obtaining shipping price: %s", "Eroare la pretul expeditiei. <br> %s"
"DPD error: %s", "Eroare DPD: %s"
"Shipping price not available in order currency", "Pretul  expeditiei nu este valabil pentru moneda curenta"
"Could not load the stored tracking information for track %s", "Nu se pot încarca informațiile stocate de urmarire "
"Error loading stored tracking information for track %s", "Eroare la încarcarea informațiilor stocate de urmarire "
"Error calling DPD for track %s", "Eroare solicitare pentru urmarire DPD: %s"
"Error calling DPD for track %s: %s ", "Eroare solicitare pentru urmarire DPD, %s: %s"
"Export CSV", "Export CSV"
"Manifest", "Borderou"
"DPD Pickup", "Ridicare DPD"
"Region/State", "Region/State"
"Zip/Postal Code", "Cod postal"
"Shipping Price/Percentage", "Pretul expeditiei/Procentaj"
"Please the shipments to include in the closed manifest.", "Va rugam ca expeditiile sa includa borderoul închis."
"Could not include shipment %s in the manifest because it is not a DPD shipment.", "Livrarea %s - Nu a putut fi inclusa expeditia în borderou, deoarece nu este facut transferul catre DPD"
"Could not include shipment %s in the manifest because it was not communicated to DPD.", "Livrarea %s - Nu a putut fi inclusa expeditia  în borderou deoarece nu a fost comunicata catre DPD"
"Could not include shipment %s in the manifest because it was cancelled with DPD.", "Nu a putut fi inclusa expeditia  în borderou deoarece nu a fost anulata de DPD"
"Could not include shipment %s in the manifest because it is already in a manifest.", "Nu a putut fi inclusa expeditia  în borderou deoarece este deja deshisa in alt borderou"
"The shipments you selected come from different stores which have different DPD connection parameters. Please select shipments which belong to stores that use the same DPD connection parameters.", "Expeditile pe care le-ati selectat provin din magazine diferite care au diferiti parametrii de conexiune DPD. Va rugam sa selectați expeditiile care fac parte din magazinele care folosesc aceiași parametrii de conectare DPD."
"Shipment %s was added to the manifest.", "Expeditia a fost adaugata in borderou"
"An error occurred whilst requesting the manifest from DPD: %s", "A aparut o eroare în timpul solicitarii bordroului de la DPD:  %s"
"An error occurred whilst communicating the manifest details to DPD. DPD says: ""%s""", "A aparut o eroare în timpul  comunicarii detaliilor borderoului la DPD. DPD spune: ""%s"" "
"The manifest was communicated successfully to DPD, but an error occurred whilst saving the manifest details in Magento. <br />Please make a capture of this screen so that you have a record of the shipments included in the manifest. <br />For you reference when communicating with DPD, the manifest details are: <br /> Manifest Reference: %s <br />Manifest Name: %s <br />Manifest internal DPD ID: %s <br />The error message returned was: %s", "Borderoul a fost comunicat cu succes la DPD, dar a aparut o eroare în timp ce se salvau detaliile borderoului in Magento. <br /> Va rugam sa face?i o captura de ecran, astfel incat sa  ave?i o evidența a expedtitiilor, daca o eroare a avut loc în timp ce se salvau detaliile borderoului în Magento. <br /> Referința Manifest:%s <br /> Numele Manifest:%s <br /> Borderou ID DPD intern:%s <br /> mesajul de eroare returnat a fost: %s"
"Close DPD Manifest", "Generare Borderou"
"Once the manifest is closed for the selected shipments you will not be able to make further changes to their shipping addresses. Do you want to continue?", "Once the manifest is closed for the selected shipments, you will not be able to make further changes to their shipping addresses. Do you want to continue?"
"Arrange DPD Pickup", "Ridicare DPD stabilita"
"Date (DD/MM/YYYY)", "Date (DD/MM/YYYY)"
"Between", "Between"
"and", "și"
Instructions,"Instructions"
"DPD Classic", "Persoana Juridica"
"DPD 10:00", "DPD 10:00"
"DPD 12:00", "DPD 12:00"
"DPD B2C", "Persoana Fizica"
"DPD Same Day", "DPD Same Day"
"Your new shipment was successfully communicated to DPD.", "Noua dvs. expeditie a fost transmisa cu succes la DPD"
"DPD says, ""%s""", "Raspuns DPD ""%s"""
"An error occurred communicating the shipment to DPD. The shipping method '%s' is invalid", "A aparut o eroare a transmiterii expeditiei la DPD.Metoda de expediere '%s' nu este valida."
