"DPD Table Rates","DPD cenik"
"Enabled","omogočena"
"DPD Country Select","DPD izbor države"
"Production Mode","način proizvodnje"
"Production WS URL","Produkt WS URL"
"Test WS URL","test WS URL"
"Method Title","Naslov metode"
"Method Name","Ime metode"
"Web Service Username","Spletno Uporabniško ime"
"Web Service Password","Spletno Geslo"
"Web Service Connection Timeout","Potek povezave na spletni strani"
"Set a timeout for connecting to the DPD web service in seconds.","Nastavitev zakasnitve povezave s spletno storitvijo DPD v sekundah"
"E.g. http://egproduction.dpd.com/IT4EMWebServices/eshop/","E.g. http://egproduction.dpd.com/IT4EMWebServices/eshop/"
"E.g. http://egtest.dpd.com/IT4EMWebServices/eshop/","E.g. http://egtest.dpd.com/IT4EMWebServices/eshop/"
"Sender Address Id","ID naslov pošiljatelja"
"Payer Id","ID plačnika"
"Service","storitev"
"Select the services that you want to enable. Note that you must also define the shipping prices for these services in your shipping table rates (see below).","Izberite storitve, ki jih želite omogočiti. Ne pozabite, da morate določiti tudi cene prevozov za te storitve, ki so navedene v tabelah (glej spodaj)."
"Export Shipping Table Rates","Cena izvoznih stroškov"
"Import Shipping Table Rates","Cena uvoznih stroškov"
"DPD GeoPost Pickup Address","DPDGeoPost naslov prevzema"
"Name","Ime"
"Additional Name","Dodatno ime"
"Street","Ulica"
"City","Mesto"
"Postcode","Poštna številka"
"Country","Država"
"Telephone","Telefonska številka"
"Email Address","elektronski naslov"
"Cash On Delivery for DPD GeoPost","Plačilo ob dostavi"
"Enabled","omogočena"
"Title","Naslov"
"Description","opis"
"Surcharge Name","ime doplačila"
"New order status","Novo Stanje naročila/nov status naročila"
"Service","storitev"
"Payment Type","način plačila"
"Payment from Applicable Countries","Plačilo iz ostalih držav"
"Payment from Specific Countries","Plačilo iz izbranih držav"
"The new shipping address for shipments associated with this order have been communicated successfully to DPD.","Nov naslov dostave v povezavi s tem naročilo je bil uspešno oddan"
"An error occurred updating the shipping address details with DPD: <br /> ""%s""","Prišlo je do napake pri posodobitvi podatkov za naslov dostave"
"DPD could not update the shipment address. The following error was returned: <br /> ""%s: %s""","DPD ni mogel posodobiti naslova za dostavo. Prišlo je do naslednje napake: <br /> ""% s:% s"""
"An error occurred retrieving the updated shipping labels from DPD. <br />""s%""","Prišlo je do napake pri pridobivanju posodobljenih DPD nalepk."
"The total length of the address cannot be more than %s characters.","Celotna dolžina naslova ne sme presegati ?? Znakov"
" incl. tax","z DDV"
" excl. tax","Brez DDV"
" Incl. tax","z DDV"
" Excl. tax","Brez DDV"
"(Excl.Tax)","Brez DDV"
"(Incl.Tax)","z DDV"
" (Excl. Tax)","Brez DDV"
" (Incl. Tax)","z DDV"
"Cash","denar"
"Credit Card","plačilna kartica"
"Crossed Check","navzkrižno preverjanje"
"Free","brezplačno"
"Error obtaining shipping price: %s","Prišlo je do napake pri vnosu cene dostave"
"DPD error: %s","DPD napaka"
"Shipping price not available in order currency","Cene pošiljanja v navedeni valuti niso na voljo"
"Could not load the stored tracking information for track %s","Ni možno naložiti shranjenih podatkov za sledilne številke"
"Error loading stored tracking information for track %s","Napaka pri shranjevanju informacij za sledilne številke"
"Error calling DPD for track %s",
"Error calling DPD for track %s: %s ",
"Export CSV","Izvoz CSV"
"Manifest","seznam paketov"
"DPD Pickup","DPD prevzem"
"Country","Država"
"Region/State","Regija/država"
"Zip/Postal Code","Poštna številka"
"Shipping Price/Percentage","cena prevoza/odstotno"
"Please the shipments to include in the closed manifest.","Prosimo vključite pakete v seznam"
"Could not include shipment %s in the manifest because it is not a DPD shipment.","Paketov ni bilo mogoče vključiti v seznam paketov, saj ni DPD pošiljka"
"Could not include shipment %s in the manifest because it was not communicated to DPD.","Paketov ni bilo mogoče vključiti v seznam paketov, saj ni bilo povezave z DPD"
"Could not include shipment %s in the manifest because it was cancelled with DPD.","Paketov ni bilo mogoče vključiti v seznam paketov, saj je bilo prekinjeno"
"Could not include shipment %s in the manifest because it is already in a manifest.","Paketov ni bilo mogoče vključiti v seznam paketov, saj so že v seznamu paketov"
"The shipments you selected come from different stores which have different DPD connection parameters. Please select shipments which belong to stores that use the same DPD connection parameters.",
"Shipment %s was added to the manifest.","Paket je bil dodan v seznam paketov"
"An error occurred whilst requesting the manifest from DPD: %s","Priz zahtevi seznama paketov je prišlo do napake"
"An error occurred whilst communicating the manifest details to DPD. DPD says: ""%s""","Med oddajo podatkov o seznamu paketov je prišlo do napake"
"The manifest was communicated successfully to DPD, but an error occurred whilst saving the manifest details in Magento. <br />Please make a capture of this screen so that you have a record of the shipments included in the manifest. <br />For you reference when communicating with DPD, the manifest details are: <br /> Manifest Reference: %s <br />Manifest Name: %s <br />Manifest internal DPD ID: %s <br />The error message returned was: %s","Seznam paketov je bil uspešno oddan, vendar je prišlo do napake pri shranjevanju podatkov v Magento. Prosimo ustvarite prikaz zaslona, da imate podatke o paketih vključenih v seznam paketov."
"Close DPD Manifest","Zapri seznam paketov"
"Once the manifest is closed for the selected shipments, you will not be able to make further changes to their shipping addresses. Do you want to continue?","Ko enkrat zaprete seznam izbranih paketov, ne bo več možno spreminjanje naslovov dostave. Želite nadaljevati?"
"Arrange DPD Pickup","Naročilo prevzema"
"Date (DD/MM/YYYY)","datum (DD/MM/LLLL)"
"Between","med"
"and","in"
"Instructions","navodila"
"DPD Classic","DPD classic"
"DPD 10:00","DPD 10:00"
"DPD 12:00","DPD 12:00"
"DPD B2C","DPD B2C"
"DPD Same Day","DPD isti dan"
"Your new shipment was successfully communicated to DPD.","Vnos nove pošilje je bil uspešno oddan"
